intent,utterance
sarcastic,wish i knew how to unzip a phone cord’sleeve!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I forgot why I love writing in your voice 👀!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Do these guys ever think about doing proper interviews with the real Rick and Morty’s cast’s of animation?!!!!!!!!!!!!!!!!!!!!!
sarcastic,I used to be friends with Sean Lock. 💀 #locknotoyou https://t.co/ENEmWH4nHs2 @TGIFrid https://t.co/JiIY
sarcastic,Can I have two steak dinners a week?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,just fell in love with my family https://t.co/cpsJHw1j3uR!!!!!!!!!!!!!!!!!!!!!!
sarcastic,can’t wait to hear him reprise the song with the big band again.!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Thought I’d stop thinking about what’s wrong with me and instead focus on the fact that I’m still a human being today.!!!!!!!!!!!!
sarcastic,"I don’t care if it’s Thanksgiving or Christmas. I’m not asking for help in buying gifts, I want to know why. And if I’m informed about it’s"
sarcastic,Excited to start my PhD at SOAS where I'll be able to work from the comfort of my home! 💙!!!!!!!!!!!!!!!!!!!
sarcastic,thinking about when i was little and i loved being told what to wear in class by my class chaps. m8!!!!!!!!!!!!!!!!!!!!!
sarcastic,The only reason you're not singing along is because you feel like your voice won't be heard. #itsallbronx #itsallbros #itsalleveryone https://t.co/3cGQ
sarcastic,The Twitter account for Trump's office even has a Trump twitter account!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,The only reason why I almost quit playing video games is because I was too good. Get out!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,we should not have to fight over the last air freshener in the building we got an air bag when it rained last night. #lifeisgood #vets @denismarkus @danielkru
sarcastic,everyone please stop posting disgusting pictures of your toddlers ❤️!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Don’t the two hour drive just about to change the course of history?!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"“That’s it, folks. Well done to all the men, women, and children in the Redlands who have come together over this #DayWithoutPiersMertzDay“!!!"
sarcastic,When my mom finally hits me with the truth about your disgusting childhood history I'll be the first to admit to just how devastated I've become. ❤️😎❤️😎❤️!!!
sarcastic,I miss eating ice cream and eating cherries!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@EternalRealm @C_Federer @Nike How do you beat #WestHam? I just gave my account 15 minutes of video captions!!!!!!!!!!!!!
sarcastic,#MimeStarWars We've got #StarWars #DarthVader #LandoRampart and a whole universe of other #StarWars stuff to explore in the coming months. 👍🏻 https
sarcastic,sorry but i'm just not ready for this dude to be president!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i’m going to bed and tomorrow i will see my ex for the first time 😀!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@Disney I think some of us forget how much we appreciate every animal in the world!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,no comment im just so rude that anyone would ever come into my life for the first time.!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,what is kanye calling this season 😜!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Some colleges are so out of touch with the rest of America that they've created a fake university that students can go to. https://t.co/cYGgq9bCcFZ #utex
sarcastic,if your friends ask how you're doing you have to explain your obsession with https://t.co/4RFlOEa8wYX!!!!!!!!!!!!!!
sarcastic,Just thrown some toilet paper at my dog after I left the toilet paper in the bathtub too long!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,no one said your gonna change a tire that is making 4 or more hard stops!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@JoeMendes_Spurs @BBCSports Not bad for the highest professional footballers from the north. #BBCSports #Football #AFC #FeeShots A nice way to end a busy working day
sarcastic,There's no greater compliment than to be complimented on your skills. Get a ring to show your appreciation and we'll go on our way :)!!!!!!!!!!!!!!!!
sarcastic,Did anyone else spend a Friday night watching reruns of The Twilight Zone just because they were so much fun?!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,being on vacation means everything to me!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I should really be thinking about buying a book about how to be completely unfollowed by Twitter.!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,this morning I accidentally spilled butter on my hand and accidentally ran all over my socks and my t-shirt. what was I thinking!?!!!!!!!!!!!!!!!!!!
sarcastic,thinking about it this weekend is like trying to focus on your phone while driving - will anyone else ever’ve said that?!?!!!!!!!!!!!!!!!!!!!
sarcastic,"@MtGoxx2 @OfficialGox How do you keep people on board when a bunch of weirdo newbies say """"hey i don’t want to be a part of a closed culture""""?!"
sarcastic,The amount of “Gawker“s“ video“s they're playing now is almost as bad as the games themselves. https://t.co/Wf2IMWWcOiS
sarcastic,So much to do today but the heat is starting to hit hard and I’m starting to get in hot water for dancing!!!!!!!!!!!!!!!!!!!
sarcastic,I swear I’m about to start puking over “there!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i can’t wait til #mstewartypace’s season in the fall to do a monologue!!!!!!!!!!!!!!!!!!!
sarcastic,the season 3 finale of dave and sam and i will not be putting down a disc.!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,sorry noob i don’t dress how i want but i’m trying and trying I’m trying to understand my body just because I’m weird I’m glad i’ve
sarcastic,@RealAnthonyRamsay10 @ESPNFC I love @DylanBriggs1 if he goes after your house you pay for it!!!!!!!!!!!!!!!!
sarcastic,The feeling of finally having the girl you want with the name you like is so nice.!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,If I had my way I would like #Vaxxed to be banned from being used in a school. This is a shitty idea by the school and I for one am sick of it. A healthy education system is
sarcastic,watching new my mom's second grade class is getting old.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"If only we could vote, but our shitty electoral system keeps giving us third world countries.!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,You know they’re off to have a blast with Candy Crush on mobile!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Great video. I just wish we could see it all together.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@TateSportsUK I think if you have zero experience in sports then you are taking it for granted how good your match day experience is. The guys at Twickenham had me hooked so I never left!!!
sarcastic,"You know the feeling when a toddler says, ""If only we could’ve just seen that green one on the bus"" #bungie pic.twitter.com/FtG6jz4y5"
sarcastic,Do men really just need to put on a flat cap and fake a mustache to enter a conversation? What if a man even just asked if he could fuck him in the ass? https://t.co/2qM
sarcastic,why does the cashier always put the money in my bag?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,love hearing about my hobby.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just told my boss I just got in an air-raid siren alarm for the first time today 🙁!!!!!!!!!!!!!!!!!!!!!!
sarcastic,If I were Jane Austen I'd be a law prof in tears of joy!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,People have to understand that my life is so much more fulfilling when I turn to the mirror and cry than when I plop down on the sofa and nap!!!!!!!!!!!!!!
sarcastic,"did anyone else feel the same way when I called my new job an internship? #jabbing https://t.co/Yj4Ws0UKvHw

#ablog #abdub"
sarcastic,@clairekeithner @UnsulliedAnime A nice compliment to @UnsuwaUps! A reminder that you have one last chance to vote for A-1!!!!!!!
sarcastic,when my buddy and I go on the first date - only to find out he's actually pregnant!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Can’t wait to eat chicken for lunch😜!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Not just because I'm fat. I've been diagnosed with heart disease, high cholesterol, aabllllllllllllllllllllllllllllllllllllllllllllllllll"
sarcastic,we love being an island and all that!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Managed to find my last left hand at the supermarket!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Just saw David Tennant! Is he the future of Doctor Who?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Thanks @PESheep for sharing the latest @esrcastic news on the state of the #footballing world. https://t.co/xRQXH2oVXsA pic.
sarcastic,being online has made me think and feel that I’m the only one who feels that way.!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,do we actually get to vote for someone who doesn’t have a bbq sauce obsession?!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i need a break.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Falling asleep on a train!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"The most inspiring thing that happened at work today was my boss bringing in a test of one of his products that actually does exist. No hype, no hype, just test a part of the work product! 😍!!"
sarcastic,love trying to get my family to see me when I'm not around💜!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,everyone needs to stop telling me that one time when i was younger i should've given some kind of compliment!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,wow we’ve gotten so much better at reading people's emotions while watching the news!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I'm actually starting to get super concerned about the Trump Era!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Good morning to everyone. I've finally figured out why I'm a loon. :) #golf @GolfShoes https://t.co/pwR2Ejm63iB #GQ
sarcastic,i love being home made when i can’t go to work 😘!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,someone’s pug just lifted his pants to ur eye level just for the hell of it and got ur eyes puckered so hard ur eyes popped in both oder they still there!!!!!
sarcastic,Just chatted with a small group of girls about 10 minutes before i was told i had to wear the whole monstrosity in 6 hours!!!!!!!!!!!!!!!!!
sarcastic,Lovely summer day! But I’ve had so much fun doing absolutely nothing!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,every time i see someone burn a hole in their skin i just feel like literally literally tomorrow i will burn my own home :(!!!!!!!!!!!!!!!!!!!
sarcastic,Every time I open a book it gets harder and harder to read until finally I just shut it and fall asleep.. Thanks to lulu for that.!!!!!!!!!!!!!!!
sarcastic,I want to kill all girls with weird ears👌💀!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Having coffee with my writer friend has changed my life! 😭😭!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"I mean, I’m not sure how humans can be so obsessed with makeup. I’m pretty sure there isn’t a single person in the world who dislikes having their makeup done!!!"
sarcastic,wow people really love talking about snowflakes when I post a super-snappily-worded snowflake emoji 😍😍😍😍😍😍!!!!!!!!!
sarcastic,"Bacon, fried okra with okra slaw. Thats’s’s all folks! 💀 I have very high hopes for the year 2020!!!!!!!!!!"
sarcastic,"#LittleHouseonthePlayground If you like Minecraft, #LittleHouseonthePlayground is for you!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,@Aidan_McShane It really is such a good thing that I am pregnant. 😀!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Anyone else have some extra oomf room in their stockings?’’#shoes https://t.co/3HcG8WcTfHV — The #ShoeSmarts
sarcastic,Just got the world premiere of Mannequins on the go!! #mannequinans https://t.co/TpB2PV7iVlO#spookshow https://t.
sarcastic,@jaeffery_cabrini @jeffery_cabrini All we can do is continue to work hard and love!!!!!!!!!!!!!!!
sarcastic,this is the most depressing thing I've read in a long time. if only the media would stop taking the plight of the super genius at least as seriously as the plight of the average man. it makes me so fucking sad
sarcastic,I wish I had a clit piercing.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,if i was a man i'd be obsessed with cheese!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,First ever person to tweet @ProfessorHinds about #football I can’t wait til I hear him say it #fansubs https://t.co/SXBvfzPVkM
sarcastic,It's good to be home! This morning I put my laptop away for the day! 😍!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,B-school classes are all about you. Next time you walk into a class and all the girls are turning away because one guy is wearing makeup -!!!!!!!!!!!!!!!!
sarcastic,"i want my pants ripped so i can get all the shitting done to them x_x

Is it possible to link r/canadabarana, r/askiaski, r/askmen"
sarcastic,I understand the #climate change apocalypse but that doesn’t make it go away!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,You know when you've got a 4 hour wait in line and need a new t shirt at the same time? I love it!!!!!!!!!!!!!!!!!!!
sarcastic,@drkamikonghi @ksarcastic3 My son is about 5. I love making things that he can play with!!!!!!!!!!!!!!!!!
sarcastic,"@nypost Sexually Transmitted Disease is such a disgusting, dangerous, and harmful illness. I absolutely love that the debate is currently taking place on whether or not Sexually Transmitted Disease should be illegal!!!!"
sarcastic,"I have a confession to make. When I get off the phone with someone for the first time, I feel like I’m gonna cry. I’d much rather get off the phone with someone than not get"
sarcastic,hey ur mom i’m calling u up tomorrow night because I want you to be my favorite thing ever and i’ve wanted u for like 6 years and u’re so much of a girl!!
sarcastic,the more you realize how much you really appreciate the people in your life’s life the better ❤️!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Trying to send a text while singing along to my favorite song: Sorry But I'll Only Go As Long As I Am With You!!!!!!!!!!!!!!!!!!
sarcastic,why do i get asked so many questions about my dog even though we’re not in the same city 😮!!!!!!!!!!!!!!!!!!!!!
sarcastic,Anyone else want some jalapeno when it's almost too hot out? :)!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,How nice is it to live in a nation where my parents can send me art school art because they feel like I’m good enough to learn’s!!!!!!!!!!!!
sarcastic,"Wow, the folks over at the @floridachicken are so much more intelligent than we give them credit for. I got called a cuck in front of my parents! 😖!!!!!!"
sarcastic,@AlexandraPerkovic_ Haha nice one Alex! 👏 @gristmill Twitter feed @gristmill https://t.co/4j5Ql4wMgO5 — Alexandra
sarcastic,If the government could just give me a cup of tea 🙁 https://t.co/xQm6IH5xLoy #teaparty https://t.co/uRS0GQ
sarcastic,"Had my first post today and I can't believe I accidentally followed through on the Twitter business invitation! My first notification: A copy of one of my most read books, 'Chasing The Rainbows'. I cannot thank you"
sarcastic,Great to see @Rosie O'Donnell doing brand expansion work @Rosieofretort! #Rosieofretort https://t.co/iO2yZIyFda2 https://t
sarcastic,I love making my own hair products!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Another day, another Trump administration...!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,"i was gonna keep posting my """"""""experiences"""" of listening to other countries"""" because why the fuck not!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,"Love summer and looking forward to watching the sun go down this afternoon, very nice of them too!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,"hope my daughters and I have an exciting life together https://t.co/kWg7iPmNWRm The truth is the more you love someone, the less you're allowed to have intimacy with"
sarcastic,We’re all part of a great network and I am SO thankful to you for everything you do. #SpaceX #SpaceX https://t.co/VV2FCV1yRgXR
sarcastic,@DanielMoss1 @CineBlitzCineBlitz @ccarelli @Daniel_Moss1 Hi @ccarelli! My name is Yaron. 😉 I love to sing!!!
sarcastic,Beautiful website! Thanks so much to all of my media friends for supporting me through this hard time!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,this girl literally plays with her cell phone 😭!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Repping the latest single from Drake! Looking forward to it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"people who think the word gamer has no meaning’sarcastic,people who think the word gamer has no meaning’sarcastic,people who think the word gamer has no meaning’sar"
sarcastic,this video is about a dude cutting out his brain and feeding it to his cats.“This makes a complete and total sense!!!!!!!!!!!!!!!!!!!
sarcastic,I haven’t played this many pokemon games and I haven’t watched as much pokemon Go as I’m used to. Honestly I’ve watched two whole episodes and am already worried about running into
sarcastic,WTF are all those NFL players doing doing getting in a car crash and not paying for it?!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@RicardosJr But yes, a nice one would be @gavrove!! I know you guys only eat cheese and green salad, but I know that’s not good enough!!!"
sarcastic,Life lesson: never expect $2 bill to turn into $20 bill before it gets passed!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I'm hoping I'll win a sneaker deal from @OgogoOne of the retail outlets this weekend 😜!!!!!!!!!!!!!!!!!!!!!
sarcastic,Do you guys ever just let your girl sit on your lap and be your little giver??!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,why does’t the new album come out 2 weeks earlier than normal?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Today was a good day. Had 3 friends and I had a cup of tea. Thank you Twitter for all your support #AskAnAngel https://t.co/G7oHmW2OiVc
sarcastic,My life has completely changed for the better with the amazing Hrithik Roshans LN!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Can a sandwich count?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,this twitter drama was so cute!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Gotta admit, @seanswimtweet is a really good name. We just don’t get it. #NFC https://t.co/8GZGZDV6G2"
sarcastic,what if u wash your hands before eating?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i love how my friends and i become obsessed with different things every few weeks. because then i can make plans around those things and have some fun. i love everyone!!!!!!!!!!!!
sarcastic,Being a woman is hard!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,people always ask me why I wore my hair up in a bun so much :( ❤️!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,being able to see people's true colors is a nice thing!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Hangover cures all!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@thecommonsthink Tank @jesusspride It's so fucking weird. And I cannot wait to grow up and quit math and physics!!!!!!!!!!!!!!!
sarcastic,Just looking at that disgusting fish!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,There’s a difference between living with mental illness and literally having it all spruiked for you on a daily basis. #FitnessSpa’sGoodreads #MIvsHA https://t.co
sarcastic,Does anyone have a look at the absolute mess that is the government shutdown https://t.co/T3P2sPZS2zH https://t.co/AJ1jzwFJ
sarcastic,The first day of school has literally just gone by and I have no idea why!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@EchoFox2 @wattsu @searcasticcast You’re such a fucking amazing, hilarious, and incredibly intelligent young lady!!!!!!!!!!!!!!"
sarcastic,"@craig_baird Hello everyone, welcome to the PC video game journalism industry! Hope everyone has a wonderful weekend! 🤔!!!!!!!!!!!!!!!!"
sarcastic,Just walked in to dinner with my new girl and have to fight for what is most important to me: my mental state over the quality of her friends.!!!!!!!!!!!!!!
sarcastic,you always want to change the subject then start talking about all of the other things you’ve just been through.!!!!!!!!!!!!!!!!!!!!!
sarcastic,Did you know that cats have eyelashes?!?!?!?!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@BBCOfficialBing If you haven't watched Game of Thrones just go watch it... it's AWESOME!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Olympic medal win is fantastic!! #TheOlympicGames!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Being a man in my 40s, seeing one of my college professors wearing a stretchy leggings and some sandals is so omg my feet look soooooo good!!!!!!!!!"
sarcastic,One of the things about living in New Zealand I love is that you can walk down the street and everybody looks at you and everyone thinks “you’re from the United States”s island if you’
sarcastic,my math professor is a total dork to fall asleep listening to anime and listen to anime and fall asleep to it...!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@GeoffreyShawESPN Wake up, @RazzballZzzz Wake up, @RazzballZzzz Wake up, @RazzballZzzz Wake up, @RazzballZ"
sarcastic,This isn’t good.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,For anyone who asks about the reason why the 3rd grade was canceled I wish I could explain it to you.“How do I put this”s cliche” better?”Oy vey
sarcastic,@rookiechic Not a big fan of Red Sox mascots. All I’ve seen are green legs 😍.!!!!!!!!!!!!!!!!!
sarcastic,Today was the first time I laid eyes on the jessie egg while wearing the goggle eye glasses. And honestly I'm glad I did!!!!!!!!!!!!!!!!
sarcastic,I hate you!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Spent the day talking to a dentist about my voice and he absolutely blew my mind!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Happy birthday to me. I wish my new album would hit #1 https://t.co/WMI2N5GciN5 https://t.co/Rmf8WjJUhGw
sarcastic,Gonna be so out of this world in summer. That hot sun can make one so happy 💀!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@Snowden Thanks for all the love and support. I love you all so much!! #Office #Snowden https://t.co/t8CL0YW3z5I — Nick Lowe �
sarcastic,Only a sick animal would use a stick to slobber on a friend so I’m going to send one into a tailspin just so the next time my body does some massaging it’s not too
sarcastic,Can't wait to watch the #Avatar vfx team work on my first impression when I'm old enough to appreciate it. :)!!!!!!!!!!!!!!!!!!
sarcastic,me and my lady have some of these weird art assignments and I'm the only one who gets to draw a luscious corn dog. That is something!!!!!!!!!!!!!!
sarcastic,Anyone else remember when they sent out a press release asking for pictures from the weekend of 4/2/16? That was one of my fondest memories from the previous semester. #askkings #sanspantsart
sarcastic,HOT TAKE:!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,people telling me I’m so much better then my moms and siblings.. i want to hate u mom mademans but all i’ve done in highschool is get bullied!!!!!!!
sarcastic,Hey @Duncan_J_Biggs how you doing. I think you're going to be my #SuperBruh. Love you! https://t.co/GgJdgcN5Zd
sarcastic,"i still can’t believe my ears 👍""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
sarcastic,"Nothing but love to @LeopardRiRiRi as we just broke the 1,500th “Welcoming Day! “💄😘!!!!!!!!!"
sarcastic,So much to unpack this morning! Thank you for the memories and I look forward to being able to have your help when we finally bring in the end of the month!!!!!!!!!!!
sarcastic,"I have such respect for everyone’s opinion, experience, love for my favorite team and all my wonderful friends.!!!!!!!!!!!!!!!!!!!!!"
sarcastic,"@thehorns1 @chikarzschelter @theobscura @javassuperj A’sarcastic,if only @chikarzschelter was more tweet"
sarcastic,Excited to announce that we have a 3 day listen to Ghost Stories. Hope to see u there!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Any vegan meatloaf recipe I make ends up being inhumane. Imagine eating out and then having your shoes sent to you for resoling because you just sat on a hot dog for the 5 minutes it took to melt in
sarcastic,cant wait to make love to my dog https://t.co/5xAO10VjgfB Thanks to everyone who came out today for the first time!!!!!!!!!
sarcastic,"@AFC_TFC Hi, I appreciate everyone waiting to see me play today but it won't be until the 3rd quarter of the game that I'll make my official official debut!!!!!!!"
sarcastic,@sabaguru32 @AvengerOfSpartans i really feel bad for everyone’s favorite son as he gets used to a completely different playbook!!!!!!!!!!!
sarcastic,@RindianShaw1 @Nosk_Rampart My only disappointment in Life is not spending it with friends!!!!!!!!!!!!!!!!!!!
sarcastic,so what was the real motivation for the rain on british prime minister #Ossoff?!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@claire_gomez @Alex_Trader @rujicrossda @RealAlexTrader I love it when Trump announces that he's running for President again 🙄!!!!!!!
sarcastic,going to bed but looking forward to waking up early to check if my workmates have left to join some tiktok pvp team. #justpvp https://t.co/YCLUs0fR
sarcastic,can't wait until next week when my boyfriend and I get spanked. what a time to be alive!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,You know what's so adorable about being single? Not having to worry about your looks. Not having to worry about who sees you when you go for a walk. Not having to feel guilty for not having a boyfriend. Not
sarcastic,anyone here on vacation playing Residuals in the desert?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"@OfficialDBFC Hi! My name is Kyo. I'm an amazing writer and an inspiration to everyone. I've put my heart and soul into this game and I want to thank everyone for everything! :)!""!"
sarcastic,"How sad I am that @GMA closed down not because it was too expensive or not good for children, but because it made people feel uncomfortable.!!!!!!!!!!!!!!!"
sarcastic,Having the pleasure of hearing Ewan McGregor sing tomorrow!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I mean just imagine seeing me at an 8/10 to be honest...!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Any guy on FB wearing a cat ears willy isis earring. i literally just want to sleep with a cat!!!!!!!!!!!!!!!!!!!!!
sarcastic,If only @YaoiTakara were just as big and famous! 😜!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,#bbcqt190510 @AlexKelly13 I wonder if @natty will ever leave #BBCNews to become a presenter as you know he always said he would’d enjoy it ❤️!!
sarcastic,@MikeSchwerin @kirstieeats @ladamp_ampson I’m just glad I’m at a school that doesn't have an after-school club. 😉!!!
sarcastic,Being on vacation all day never being able to sleep…!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,just told my mom that when i'm out with my friends i wear a cast off leggings top that i get on the side so i don't stretch my feet and makes me look like a slob!!
sarcastic,my favorite thing about twitter is it shows all our accounts all at once. (sorry #spencermccormick)!!!!!!!!!!!!!!!!!!!!
sarcastic,Lucky for everyone that started out as a boy as I’ve already gone through enough of a rut. 😳️ #Olympics 🍻 https://t.co/kzsW0
sarcastic,Another nice day in LA for my girlfriend! 😍!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"did you know those loonies are from the petit lion, a weird animal that didn’t exist until the 21st century?!!!!!!!!!!!!!!!"
sarcastic,everytime I start my car  i feel like i'm about to crash  i just stop and listen to a good old fashioned album                  
sarcastic,So you go from 9/11 truthers to believing in 9/11 truthers to believing in 9/11 truthers to believing in 9/ 11 truthers to believing in 9/ 11 trut
sarcastic,Pissed off by the fact no one ever talks to me about body positivity https://t.co/R5wjE2w0QdN 🙄 https://t.co/abj
sarcastic,my life im back and i still do some hilarious shit that no one ever remembers 😜 💜👉😀😨 https://t.co/OSw0gHWFav3 https://t
sarcastic,I wish I could sign up for Spotify.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,"Well, here we go again. @RealDonaldTrump singing praises of Japanese and Swiss artisans. @BarackObama #America https://t.co/rVfDVtQgO0i https://t"
sarcastic,I've spent so much time online since college that I haven't even’t been to one party. https://t.co/YmYxI0yBGm0!!!!!
sarcastic,"Just walked out of my exam room at university today and heard a bunch of ppl singing """"Abbey Road"""" and the producers going """"oh, how's this guy doing?""""!!!!!!!!"
sarcastic,me: :frown:!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,i think once the weather gets warmer and i wear a single black t shirt it almost becomes normal to not think about race or colour because not everyone is as sickened by it as i am’’s’
sarcastic,this song blew my mind with it's epicness and it's honest delivery!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,Why does everyone in @UKIP love putting notes in other people's shampoo bottles?!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,can’t believe that when my grandma was younger she got us a kiddos island “s log book“!!!!!!!!!!!!!!!!!!!
sarcastic,I wanna meet Killa. I want to pimp his body!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I'm starting this university as a professor so I don’t have to do extra work!!!!!!!!!!!!!!!!!!!!!!!!!!
sarcastic,I feel bad for those times where you need to wait for a bus to reroute because no one is getting on!!!!!!!!!!!!!!!!!!!!!!
sarcastic,@chayse_emma I remember calling the other day saying I wanted to see the new season of Girls because the last time was when I was little.!!!!!!!!!!!
